Latex	Symbol	Description
\nVDash	⊯	negated double vertical bar double right turnstile
\ntriangleleft	⋪	not normal subgroup of
\ntriangleright	⋫	does not contain as normal subgroup
\ntrianglelefteq	⋬	not normal subgoup of or equal
\ntrianglerighteq	⋭	does not contain as normal subgroup or equal
\nsubseteq	⊈	neither subset of nor equal
\nsupseteq	⊉	neither superset of nor equal
\subsetneq	⊊	subset of with not equal
\supsetneq	⊋	superset with not equal
\subsetneqq	⫋	subset of above not equal to
\supsetneqq	⫌	superset of above not equal to 
